win_T,lose_T,win_L,diff
Cleveland Cavaliers,Boston Celtics,H,3
Houston Rockets,Golden State Warriors,A,1
Milwaukee Bucks,Boston Celtics,A,8
Atlanta Hawks,Dallas Mavericks,A,6
Detroit Pistons,Charlotte Hornets,H,12
Indiana Pacers,Brooklyn Nets,H,9
Memphis Grizzlies,New Orleans Pelicans,H,12
Orlando Magic,Miami Heat,H,7
Portland Trail Blazers,Phoenix Suns,A,48
Houston Rockets,Sacramento Kings,A,5
San Antonio Spurs,Minnesota Timberwolves,H,8
Utah Jazz,Denver Nuggets,H,10
Washington Wizards,Philadelphia 76ers,H,5
Los Angeles Clippers,Los Angeles Lakers,A,16
Oklahoma City Thunder,New York Knicks,H,21
Toronto Raptors,Chicago Bulls,H,17
Brooklyn Nets,Orlando Magic,H,5
Charlotte Hornets,Atlanta Hawks,H,18
Sacramento Kings,Dallas Mavericks,A,5
Portland Trail Blazers,Indiana Pacers,A,18
Cleveland Cavaliers,Milwaukee Bucks,A,19
Minnesota Timberwolves,Utah Jazz,H,3
Golden State Warriors,New Orleans Pelicans,A,8
Boston Celtics,Philadelphia 76ers,A,10
Los Angeles Lakers,Phoenix Suns,A,2
Washington Wizards,Detroit Pistons,H,4
San Antonio Spurs,Chicago Bulls,A,10
Orlando Magic,Cleveland Cavaliers,A,21
Denver Nuggets,Sacramento Kings,H,17
Houston Rockets,Dallas Mavericks,H,16
Los Angeles Clippers,Phoenix Suns,H,42
Memphis Grizzlies,Golden State Warriors,H,10
Miami Heat,Indiana Pacers,H,4
Milwaukee Bucks,Portland Trail Blazers,H,3
Detroit Pistons,New York Knicks,A,4
Toronto Raptors,Philadelphia 76ers,H,34
Utah Jazz,Oklahoma City Thunder,H,9
Brooklyn Nets,Atlanta Hawks,H,12
New Orleans Pelicans,Los Angeles Lakers,A,7
Minnesota Timberwolves,Oklahoma City Thunder,A,2
Golden State Warriors,Dallas Mavericks,A,30
Washington Wizards,Denver Nuggets,A,5
Philadelphia 76ers,Detroit Pistons,A,11
Memphis Grizzlies,Houston Rockets,A,8
Miami Heat,Atlanta Hawks,H,11
Milwaukee Bucks,Charlotte Hornets,H,9
Phoenix Suns,Sacramento Kings,H,2
San Antonio Spurs,Toronto Raptors,H,4
Boston Celtics,New York Knicks,H,21
Cleveland Cavaliers,Chicago Bulls,H,7
Los Angeles Clippers,Utah Jazz,H,18
Indiana Pacers,Minnesota Timberwolves,A,23
Orlando Magic,Brooklyn Nets,H,4
Portland Trail Blazers,New Orleans Pelicans,H,10
Brooklyn Nets,Cleveland Cavaliers,H,5
Charlotte Hornets,Denver Nuggets,H,17
Dallas Mavericks,Memphis Grizzlies,H,9
Detroit Pistons,Minnesota Timberwolves,H,21
Golden State Warriors,Toronto Raptors,H,5
Los Angeles Lakers,Washington Wizards,H,3
San Antonio Spurs,Miami Heat,A,17
Oklahoma City Thunder,Indiana Pacers,H,18
Houston Rockets,Philadelphia 76ers,A,1
Phoenix Suns,Utah Jazz,H,9
Chicago Bulls,Atlanta Hawks,H,5
Memphis Grizzlies,Dallas Mavericks,H,5
Boston Celtics,Milwaukee Bucks,A,7
Los Angeles Clippers,Portland Trail Blazers,A,1
New Orleans Pelicans,Sacramento Kings,A,8
Denver Nuggets,Atlanta Hawks,A,5
Houston Rockets,Charlotte Hornets,A,16
