win,lose,probability
Philadelphia 76ers,Boston Celtics,0.5007108387221767
Golden State Warriors,Oklahoma City Thunder,0.6213732360108299
Milwaukee Bucks,Charlotte Hornets,0.6127032473830752
Detroit Pistons,Brooklyn Nets,0.7176115419469877
Houston Rockets,New Orleans Pelicans,0.6883850012437793
Indiana Pacers,Memphis Grizzlies,0.8746585917220521
Denver Nuggets,Los Angeles Clippers,0.6009379299913711
New York Knicks,Atlanta Hawks,0.6611413461560047
Miami Heat,Orlando Magic,0.7818598354245655
Dallas Mavericks,Phoenix Suns,0.5449816406444108
Utah Jazz,Sacramento Kings,0.8489650109528734
San Antonio Spurs,Minnesota Timberwolves,0.5031972063155516
Toronto Raptors,Cleveland Cavaliers,0.6442152276979054
Philadelphia 76ers,Chicago Bulls,0.8946050340211062
Portland Trail Blazers,Los Angeles Lakers,0.7253780600200503
Miami Heat,Washington Wizards,0.524529671019843
Brooklyn Nets,New York Knicks,0.5388284152916019
Oklahoma City Thunder,Los Angeles Clippers,0.6215859392630225
Memphis Grizzlies,Atlanta Hawks,0.5078448531059514
Indiana Pacers,Milwaukee Bucks,0.5970123614110685
Cleveland Cavaliers,Minnesota Timberwolves,0.5262575225377011
New Orleans Pelicans,Sacramento Kings,0.8454166411060305
Charlotte Hornets,Orlando Magic,0.63940863688753
Toronto Raptors,Boston Celtics,0.5490937599294156
Golden State Warriors,Utah Jazz,0.6454935159960589
Detroit Pistons,Chicago Bulls,0.7017482804388172
Minnesota Timberwolves,Dallas Mavericks,0.7885737600047408
Denver Nuggets,Phoenix Suns,0.9116787494885814
Indiana Pacers,Brooklyn Nets,0.8008953051848484
Houston Rockets,Los Angeles Lakers,0.8690535216040617
Miami Heat,Charlotte Hornets,0.6337457700524576
Boston Celtics,New York Knicks,0.8249616774420976
Philadelphia 76ers,Orlando Magic,0.8817095632568825
San Antonio Spurs,Portland Trail Blazers,0.5055805353144986
Toronto Raptors,Washington Wizards,0.7247020105571071
Cleveland Cavaliers,Atlanta Hawks,0.8582147555159889
Golden State Warriors,Denver Nuggets,0.6709439915484179
Houston Rockets,Los Angeles Clippers,0.8302033525553558
Oklahoma City Thunder,Sacramento Kings,0.8583335846880106
Boston Celtics,Orlando Magic,0.875339369534857
Dallas Mavericks,Chicago Bulls,0.6068098634075856
Golden State Warriors,Phoenix Suns,0.9534897887043706
San Antonio Spurs,Los Angeles Lakers,0.6793354376821802
